文字・列番など	x	y	width
回	0	1	2
試	2	1	2
臨	4	1	2
←	8	1	1
→	9	1	1
臨回	0	2	2
検	2	2	2
A	0	3	1
B	1	3	1
C	2	3	1
D	3	3	1
K	4	3	1
S	5	3	1
T	6	3	1
X	7	3	1
Y	8	3	1
Z	9	3	1
x	7	3	1
y	8	3	1
z	9	3	1
溝月	0	4	7
溝月レイル	0	4	7
溝月ﾚｲﾙ	0	4	7
Vague	0	6	7
vague	0	6	7
VAGUE	0	6	7
ベーグ	0	6	7
ﾍﾞｰｸﾞ	0	6	7
溝月	0	5	5
溝月レイル	0	5	5
溝月ﾚｲﾙ	0	5	5
Vague	0	7	5
vague	0	7	5
VAGUE	0	7	5
ベーグ	0	7	5
ﾍﾞｰｸﾞ	0	7	5
Hortensia	0	8	7
しあしあ	0	8	7
Hortensia	0	9	5
しあしあ	0	9	5
あらいす	0	10	7
新井 鈴	0	10	7
Alice	0	10	7
araisu	0	10	7
新井　鈴	0	10	7
あらいす	0	11	5
新井 鈴	0	11	5
Alice	0	11	5
araisu	0	11	5
新井　鈴	0	11	5
