トラック名	列番種類	列番位置x	列番位置y	分岐器	定位False/反位True
AS2T	L	345	462		
AS1T	L	345	475		
NA2T	L	71	547		
NA2T	L	1854	348		
NA1T	L	2	534		
NA1T	L	1812	335		
下り249T	L	1670	322		
下り245T	L	1648	309		
下り241T	L	1626	335		
下り237T	L	1603	322		
TH2T	L	1426	327		
TH1T	L	1404	314		
MT2T	L	1168	327		
MT1T	L	1136	314		
FMT	L	962	301		
DF2T	L	756	301		
DF1T	L	734	288		
下り151T	L	112	322		
下り151T	L	1852	132		
下り145T	L	80	309		
下り145T	L	1830	120		
下り143T	L	48	335		
下り143T	L	1748	146		
下り137T	L	2	322		
下り137T	L	1726	133		
下り123T	L	1426	146		
下り117T	L	1404	133		
下り111T	L	1372	120		
下り105T	L	1360	159		
下り103T	L	1338	146		
下り89T	L	1174	133		
下り75T	L	948	146		
下り71T	L	926	133		
下り67T	L	894	120		
下り59T	L	872	159		
下り55T	L	850	146		
下り49T	L	828	133		
下り45T	L	796	120		
下り41T	L	744	133		
下り35T	L	712	120		
下り27T	L	690	146		
下り9T	L	283	146		
下り7T	L	261	133		
TH76_5LAT	L	101	67		
TH76_5LBT	L	101	110		
TH76_5LCT	L	81	135		
TH76_5LDT	L	81	156		
TH76_21イT	L	241	120		
TH76_21ロT	L	241	120		
TH76_22T	L	241	120		
TH76_23T	L	241	120		
TH76_23イT	L	241	120		
TH76_24T	L	241	120		
TH76_25T	L	241	120		
TH76_26イT	L	241	120		
TH76_26ロT	L	241	120		
TH76_27T	L	241	120		
TH75_1RET	L	305	159		
TH75_1RT	L	305	159		
TH75_4T	S	439	4		
TH75_5RAT	L	524	4		
TH75_5RBT	L	524	67		
TH75_5T	S	439	25		
TH75_6LT	L	371	172		
TH75_6T	S	439	46		
TH75_7T	S	337	4		
TH75_8T	S	337	25		
TH75_9LCT	L	524	121		
TH75_9LT	L	588	133		
TH75_9T	S	337	46		
TH75_34LT	S	-100	-100		
TH75_41イT	L	305	159		
TH75_41ロT	L	305	159		
TH75_42イT	S	-100	-100		
TH75_42ロT	S	-100	-100		
TH75_43イT	L	305	159		
TH75_43ロT	S	-100	-100		
TH75_44T	S	-100	-100		
TH75_45T	S	-100	-100		
TH75_46イT	L	305	159		
TH75_46ロT	L	305	159		
TH75_48T	S	-100	-100		
TH75_49イT	L	626	41		
TH75_49ロT	L	626	41		
TH75_50イT	L	626	41		
TH75_50ロT	L	588	133		
TH75_SST	L	626	41		
TH75_TST	L	305	159		
TH71_1RAT	L	1050	42		
TH71_1RBT	L	1050	67		
TH71_1RT	L	962	54		
TH71_6LCT	L	1050	107		
TH71_6LDT	L	1050	133		
TH71_6LT	L	1114	146		
TH71_11T	L	962	54		
TH71_21T	L	962	54		
TH71_22T	L	970	159		
TH71_23T	L	1110	15		
TH71_24T	L	1114	146		
TH71_SST	L	1110	15		
TH71_TST	L	970	159		
TH70_1RAT	L	1218	54		
TH70_2LT	L	1196	146		
TH70_5LBT	L	1218	120		
TH70_5LT	L	1282	133		
TH70_21イT	L	1282	133		
TH70_21ロT	L	1284	67		
TH70_SST	L	1284	67		
TH67_1RAT	L	1558	42		
TH67_1RBT	L	1558	67		
TH67_1RT	L	1470	54		
TH67_4LT	L	1548	107		
TH67_5LT	L	1548	133		
TH67_10LT	L	1642	120		
TH67_23RT	S	1718	46		
TH67_31T	L	1478	159		
TH67_32T	L	1470	54		
TH67_33イT	L	1620	16		
TH67_33ロT	L	1620	16		
TH67_34T	L	1642	120		
TH67_35イT	L	1642	120		
TH67_35ロT	L	1620	16		
TH67_36イT	L	1620	16		
TH67_36ロT	S	-100	-100		
TH67_SST	L	1676	29		
TH67_TST	L	1478	159		
TH66S_1RAT	S	288	214		
TH66S_1RBT	S	288	235		
TH66S_1RCT	M	177	256		
TH66S_1RT	M	177	256		
TH66S_5LDT	S	118	235		
TH66S_5LET	L	152	335		
TH66S_5LT	L	152	335		
TH66S_13T	S	186	235		
TH66S_51イT	S	-100	-100		
TH66S_51ロT	M	177	256		
TH66S_52T	M	177	256		
TH66S_53T	L	152	335		
TH66S_54T	S	-100	-100		
TH66S_55T	M	177	256		
TH66S_56T	S	-100	-100		
TH66S_57T	S	-100	-100		
TH65_1RT	L	418	243		
TH65_2RT	L	482	256		
TH65_3RT	L	482	287		
TH65_6T	S	497	372		
TH65_7T	S	497	393		
TH65_11LT	L	482	327		
TH65_12LT	L	482	352		
TH65_41T	L	418	243		
TH65_42イT	L	324	348		
TH65_42ロT	L	324	348		
TH65_44T	L	594	320		
TH65_45T	L	594	320		
TH65_47T	L	594	320		
TH65_48T	L	594	320		
TH65_49T	L	594	320		
TH65_50イT	L	594	320		
TH65_50ロT	S	-100	-100		
TH65_ET	S	613	277		
TH65_TST	L	324	348		
TH65_XT	L	670	256		
TH65_YT	S	670	277		
TH64_12LT	L	778	314		
TH64_12RT	L	838	231		
TH64_13LT	L	778	314		
TH64_14RT	L	902	288		
TH64_15LT	L	838	275		
TH64_15RT	L	902	288		
TH64_21T	L	778	314		
TH64_22T	L	902	288		
TH63_12RT	L	1048	222		
TH63_15LT	L	1048	288		
TH63_21イT	L	1004	314		
TH63_21ロT	L	1004	314		
TH63_22イT	L	1102	301		
TH63_22ロT	L	1102	301		
TH62_12LT	L	1200	340		
TH62_12RT	L	1270	256		
TH62_13LT	L	1200	340		
TH62_14RT	L	1344	301		
TH62_15LT	L	1270	300		
TH62_15RT	L	1344	301		
TH62_21T	L	1200	340		
TH62_22T	L	1344	301		
TH61_2RAT	L	1520	231		
TH61_2RBT	L	1520	256		
TH61_2RT	L	1448	340		
TH61_5RT	L	1562	216		
TH61_6LT	L	1520	309		
TH61_21イT	L	1448	340		
TH61_21ロT	L	1448	340		
TH61_22T	L	1448	340		
TH59_11RT	L	1714	243		
TH59_12LT	L	1692	335		
TH59_13LT	L	1714	309		
TH59_21イT	L	1778	322		
TH59_21ロT	L	1778	322		
TH58_1RBT	L	186	489		
TH58_2RAT	L	175	455		
TH58_2RT	L	113	560		
TH58_9LCT	L	203	542		
TH58_9LT	L	345	488		
TH58_21T	L	113	560		
TH58_22イT	L	113	560		
TH58_22ロT	L	113	560		
TH58_23イT	L	345	488		
TH58_23ロT	L	345	488		
TH58_24T	L	-100	-100		
TH58_25T	L	345	488		
TH58_DT	S	307	447		
TH58_ET	S	307	468		
