信号機	方向	方向てこ1	方向てこ2
大道寺上り出発7R	R	TH65_14F	TH64_11F
大道寺上り出発8R	R	TH65_14F	TH64_11F
大道寺上り出発9R	R	TH65_14F	TH64_11F
大道寺上り出発10R	R	TH65_14F	TH64_11F
藤江下り出発12L	L	TH65_14F	TH64_11F
藤江下り出発13L	L	TH65_14F	TH64_11F
藤江上り出発14R	R	TH64_16F	TH63_11F
藤江上り出発15R	R	TH64_16F	TH63_11F
水越下り出発12L	L	TH64_16F	TH63_11F
水越下り出発13L	L	TH64_16F	TH63_11F
水越上り出発14R	R	TH63_16F	TH62_11F
水越上り出発15R	R	TH63_16F	TH62_11F
高見沢下り出発12L	L	TH63_16F	TH62_11F
高見沢下り出発13L	L	TH63_16F	TH62_11F
高見沢上り出発14R	R	TH62_16F	TH61_1F
高見沢上り出発15R	R	TH62_16F	TH61_1F
日野森下り出発3L	L	TH62_16F	TH61_1F
日野森下り出発4L	L	TH62_16F	TH61_1F
西赤山上り出発13R	R	TH59_14F	TH58_1F
赤山町下り出発3L	L	TH59_14F	TH58_1F
赤山町下り出発4L	L	TH59_14F	TH58_1F
赤山町下り出発5L	L	TH59_14F	TH58_1F
赤山町上り出発6R	R	TH58_10F	TH57_11F
赤山町上り出発7R	R	TH58_10F	TH57_11F
赤山町上り出発8R	R	TH58_10F	TH57_11F
三郷下り出発12L	L	TH58_10F	TH57_11F
