信号機	転轍機	定位False/反位True
館浜下り場内5L	TH76_W27	
	TH76_W26	
	TH76_W25	
	TH76_W24	
	TH76_W23	
	TH76_W22	
	TH76_W21	
館浜上り出発1R	TH76_W22	True
	TH76_W26	False
館浜上り出発2R	TH76_W23	True
	TH76_W24	False
	TH76_W25	False
	TH76_W26	True
館浜上り出発3R	TH76_W21	False
	TH76_W23	False
	TH76_W24	False
	TH76_W25	False
	TH76_W26	True
館浜上り出発4R	TH76_W21	False
	TH76_W24	True
	TH76_W25	False
	TH76_W26	True
駒野上り場内1RD	TH75_W41	False
	TH75_W43	True
	TH75_W45	
	TH75_W44	False
	TH75_W47	
駒野上り場内1RE	TH75_W41	False
	TH75_W43	False
駒野下り第二出発2L	TH75_W41	False
駒野下り出発3L	TH75_W45	True
	TH75_W44	False
	TH75_W43	True
	TH75_W41	True
駒野下り出発4L	TH75_W45	False
	TH75_W44	False
	TH75_W43	True
	TH75_W41	True
駒野上り場内5RA	TH75_W46	True
	TH75_W49	False
駒野上り場内5RB	TH75_W46	False
駒野上り出発7R	TH75_W49	True
	TH75_W50	False
駒野上り出発8R	TH75_W49	False
	TH75_W50	False
駒野下り場内9LB	TH75_W50	True
	TH75_W49	
駒野下り場内9LC	TH75_W50	False
駒野入換11R	TH75_W41	True
	TH75_W43	
	TH75_W44	
	TH75_W45	
	TH75_W47	
駒野入換12L	TH75_W41	False
駒野入換13R	TH75_W46	
駒野入換15L	TH75_W46	False
	TH75_W48	
	TH75_W47	
	TH75_W45	False
	TH75_W44	False
駒野入換24R	TH75_W48	False
	TH75_W46	False
	TH75_W49	False
駒野入換25R	TH75_W47	False
	TH75_W48	True
	TH75_W46	False
	TH75_W49	False
駒野入換26R	TH75_W47	True
	TH75_W48	True
	TH75_W46	False
	TH75_W49	False
駒野入換27R	TH75_W42	
	TH75_W44	
	TH75_W45	
	TH75_W47	
駒野入換28R	TH75_W42	False
	TH75_W44	
	TH75_W45	False
駒野入換29R	TH75_W43	False
	TH75_W45	
	TH75_W44	False
駒野入換34L	TH75_W42	False
駒野入換35L	TH75_W45	
	TH75_W44	False
	TH75_W42	
	TH75_W43	
	TH75_W41	
駒野入換36L	TH75_W44	
	TH75_W45	False
	TH75_W42	
	TH75_W43	
	TH75_W41	
津崎上り場内1RA	TH71_W21	True
津崎上り場内1RB	TH71_W21	False
津崎下り出発2L	TH71_W22	False
津崎下り出発3L	TH71_W22	True
津崎上り出発4R	TH71_W23	True
津崎上り出発5R	TH71_W23	False
津崎下り場内6LC	TH71_W24	False
津崎下り場内6LD	TH71_W24	True
浜園上り場内1R	TH70_W21	False
浜園上り出発3R	TH70_W21	False
浜園上り出発4R	TH70_W21	True
浜園下り場内5L	TH70_W21	False
浜園入換11R	TH70_W21	False
浜園入換12L	TH70_W21	True
新野崎上り場内1RA	TH67_W32	True
	TH67_W33	False
