トラック名1	トラック名2	分岐器	定位False/反位True
AS2T	AS1T		
AS1T	TH58_9LT		
TH58_9LT	TH58_25T		
TH58_25T	TH58_23ロT	TH58_W25	False
	TH58_9LCT	TH58_W25	True
TH58_DT	TH58_24T	TH58_W24	True
TH58_ET	TH58_24T	TH58_W24	False
TH58_24T	TH58_23イT	TH58_W23	False
TH58_23ロT	TH58_2RBT	TH58_W23	False
	TH58_23イT	TH58_W23	True
TH58_23イT	TH58_2RAT		
TH58_2RAT	TH58_21T	TH58_W21	True
TH58_2RBT	TH58_22イT	TH58_W22	False
TH58_9LCT	TH58_22ロT		
TH58_22ロT	TH58_22イT	TH58_W22	True
TH58_22イT	TH58_21T	TH58_W21	False
TH58_21T	TH58_2RT		
TH58_2RT	NA2T		
NA2T	NA1T		
NA1T	TH59_21ロT		
TH59_21ロT	TH59_13LT	TH59_W21	False
	TH59_21イT	TH59_W21	True
TH59_21イT	TH59_11RT		
TH59_11RT	上り250T		
TH59_13LT	TH59_12LT		
TH59_12LT	下り249T		
下り249T	下り245T		
下り245T	下り241T		
下り241T	下り237T		
下り237T	TH61_6LT		
上り250T	上り246T		
上り246T	上り242T		
上り242T	上り238T		
上り238T	TH61_5RT		
TH61_5RT	TH61_2RBT		
TH61_2RAT	TH61_22T	TH61_W22	True
TH61_2RBT	TH61_22T	TH61_W22	False
TH61_6LT	TH61_21ロT		
TH61_22T	TH61_21イT	TH61_W21	False
TH61_21ロT	TH61_21イT	TH61_W21	True
TH61_21イT	TH61_2RT		
TH61_2RT	TH2T		
TH2T	TH1T		
TH1T	TH62_22T		
TH62_22T	TH62_14RT	TH62_W22	False
	TH62_15RT	TH62_W22	True
TH62_14RT	TH62_12RT		
TH62_15RT	TH62_15LT		
TH62_12RT	TH62_12LT		
TH62_15LT	TH62_13LT		
TH62_12LT	TH62_21T	TH62_W21	False
TH62_13LT	TH62_21T	TH62_W21	True
TH62_21T	MT2T		
MT2T	MT1T		
MT1T	TH63_22ロT		
TH63_22ロT	TH63_15LT	TH63_W22	False
	TH63_22イT	TH63_W22	True
TH63_22イT	TH63_12RT		
TH63_12RT	TH63_21イT	TH63_W21	False
TH63_15LT	TH63_21ロT		
TH63_21ロT	TH63_21イT	TH63_W21	True
TH63_21イT	FMT		
FMT	TH64_22T		
TH64_22T	TH64_15RT	TH64_W22	False
	TH64_14RT	TH64_W22	True
TH64_14RT	TH64_12RT		
TH64_15RT	TH64_15LT		
TH64_12RT	TH64_12LT		
TH64_15LT	TH64_13LT		
TH64_12LT	TH64_21T	TH64_W21	True
TH64_13LT	TH64_21T	TH64_W21	False
TH64_21T	DF2T		
DF2T	DF1T		
DF1T	TH65_XT		
TH65_XT	TH65_50イT	TH65_W50	False
TH65_YT	TH65_50ロT		
TH65_50ロT	TH65_ET	TH65_W50	False
	TH65_50イT	TH65_W50	True
TH65_50イT	TH65_49T		
TH65_ET	TH65_48T	TH65_W47	True
	TH65_48T	TH65_W48	False
TH65_49T	TH65_2RT	TH65_W49	False
	TH65_47T	TH65_W47	False
TH65_48T	TH65_47T	TH65_W47	True
	TH65_44T	TH65_W47	False
TH65_47T	TH65_48T	TH65_W48	True
	TH65_45T	TH65_W48	False
TH65_45T	TH65_11LT	TH65_W45	False
	TH65_3RT	TH65_W45	True
TH65_44T	TH65_12LT	TH65_W46	False
	TH65_5T	TH65_W44	False
	TH65_6T	TH65_W44	True
TH65_11LT	TH65_42ロT		
TH65_12LT	TH65_42イT	TH65_W42	False
TH65_42ロT	TH65_42イT	TH65_W42	True
TH65_42イT	TH65_TST		
TH65_41T	TH65_42ロT	TH65_W41	True
	TH65_2RT	TH65_W43	False
	TH65_3RT	TH65_W43	True
TH65_1RT	TH65_41T		
TH65_1RT	上り156T		
TH65_TST	TH66S_5LT		
上り156T	TH66S_1RCT		
TH66S_1RAT	TH66S_56T	TH66S_W56	False
TH66S_1RBT	TH66S_57T	TH66S_W57	False
TH66S_1RCT	TH66S_55T	TH66S_W55	False
TH66S_5LT	TH66S_53T	TH66S_W53	False
TH66S_56T	TH66S_57T	TH66S_W57	True
	TH66S_61T	TH66S_W57	False
TH66S_57T	TH66S_56T	TH66S_W56	True
	TH66S_54T	TH66S_W54	False
TH66S_54T	TH66S_55T	TH66S_W55	True
	TH66S_13T	TH66S_W55	False
TH66S_55T	TH66S_54T	TH66S_W54	True
	TH66S_52T	TH66S_W54	False
